run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:04,2026-03-07T18:25:04.884716,0,reinforce,rollout_alloc,0,0,256,32,8,4,2,10,32,42,0.154056,0.023043,0.027023,0.023043,0.027023,0.0,0.0,0.0,0.0,0.011753,0.005616,0.010509,0.006274,0.001244,0.002193,0.006074,0.000414,0.580338,0.049222,0.238207,0.046375,0.094238,0.290534,0.56,0.56
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:05,2026-03-07T18:25:05.606316,0,reinforce,rollout_alloc,20,1,256,32,8,4,2,10,32,42,0.117906,0.017003,0.020837,0.017003,0.020837,0.0,0.0,0.0,0.0,0.0077,0.00494,0.006189,0.005079,0.001511,0.002231,0.005649,0.000326,0.456573,0.112161,0.213062,0.055621,0.093262,0.289716,0.85,0.13
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:05,2026-03-07T18:25:05.836368,0,reinforce,rollout_alloc,40,2,256,32,8,4,2,10,32,42,0.095018,0.013209,0.016682,0.013209,0.016682,0.0,0.0,0.0,0.0,0.007167,0.004001,0.005631,0.003361,0.001536,0.002189,0.005632,0.000327,0.441473,0.112381,0.212503,0.047234,0.098145,0.296633,1.14,0.19
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:06,2026-03-07T18:25:06.139169,0,reinforce,rollout_alloc,60,3,256,32,8,4,2,10,32,42,0.111587,0.015716,0.018719,0.015716,0.018719,0.0,0.0,0.0,0.0,0.011698,0.009233,0.009414,0.007571,0.002284,0.004746,0.005727,0.000285,0.538839,0.14297,0.258892,0.077586,0.10498,0.303686,1.41,0.15
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:06,2026-03-07T18:25:06.403337,0,reinforce,rollout_alloc,80,4,256,32,8,4,2,10,32,42,0.112488,0.016115,0.019821,0.016115,0.019821,0.0,0.0,0.0,0.0,0.012597,0.008559,0.010744,0.00924,0.001854,0.003589,0.00567,0.000478,0.524331,0.177708,0.224221,0.047877,0.09668,0.294579,1.66,0.14
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:06,2026-03-07T18:25:06.670575,0,reinforce,rollout_alloc,100,5,256,32,8,4,2,10,32,42,0.149816,0.021103,0.026325,0.021103,0.026325,0.0,0.0,0.0,0.0,0.014362,0.010157,0.012301,0.010635,0.002061,0.003207,0.005951,0.000581,0.563448,0.261317,0.245244,0.079149,0.096191,0.293302,1.93,0.14
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:06,2026-03-07T18:25:06.913591,0,reinforce,rollout_alloc,120,6,256,32,8,4,2,10,32,42,0.239555,0.034282,0.041323,0.034282,0.041323,0.0,0.0,0.0,0.0,0.021539,0.014322,0.020628,0.01467,0.00091,0.002063,0.006056,0.000752,0.684975,0.361253,0.247644,0.048631,0.103027,0.303407,2.18,0.15
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:07,2026-03-07T18:25:07.193946,0,reinforce,rollout_alloc,140,7,256,32,8,4,2,10,32,42,0.151114,0.020118,0.026202,0.020118,0.026202,0.0,0.0,0.0,0.0,0.017591,0.008734,0.015946,0.009103,0.001645,0.003216,0.005935,0.000411,0.658814,0.210714,0.300529,0.093143,0.109863,0.310343,2.46,0.15
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:07,2026-03-07T18:25:07.446307,0,reinforce,rollout_alloc,160,8,256,32,8,4,2,10,32,42,0.165048,0.02501,0.029092,0.02501,0.029092,0.0,0.0,0.0,0.0,0.019192,0.010093,0.015335,0.008312,0.003856,0.005296,0.006216,0.000573,0.704344,0.226106,0.304314,0.082932,0.110352,0.312564,2.7,0.14
20260307_182501_reinforce_rollout_alloc_gpu2,2026-03-07,18:25:07,2026-03-07T18:25:07.695477,0,reinforce,rollout_alloc,180,9,256,32,8,4,2,10,32,42,0.170998,0.025156,0.029032,0.025156,0.029032,0.0,0.0,0.0,0.0,0.018995,0.009056,0.015822,0.008915,0.003173,0.005799,0.006113,0.00046,0.718677,0.171377,0.288117,0.073102,0.108398,0.3091,2.96,0.15
