run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:02,2026-03-07T18:24:02.484424,0,grpo,prompt_skip,0,0,256,32,8,4,2,10,32,42,0.158966,0.02301,0.027699,0.0,0.0,0.004779,0.005173,0.0,0.0,0.010459,0.005156,0.009502,0.005522,0.000957,0.00173,0.014373,0.001447,0.543228,0.110807,0.238207,0.046375,0.094238,0.290534,0.54,0.54
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:03,2026-03-07T18:24:03.222921,0,grpo,prompt_skip,20,1,256,32,8,4,2,10,32,42,0.140061,0.018702,0.024548,0.0,0.0,0.004087,0.004877,0.0,0.0,0.011445,0.007891,0.009496,0.008428,0.001949,0.003542,0.015326,0.002468,0.527595,0.139964,0.210946,0.056742,0.095703,0.293218,0.9,0.17
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:03,2026-03-07T18:24:03.534078,0,grpo,prompt_skip,40,2,256,32,8,4,2,10,32,42,0.113119,0.017585,0.019044,0.0,0.0,0.003655,0.004264,0.0,0.0,0.010107,0.006107,0.007321,0.005788,0.002786,0.004166,0.015664,0.001176,0.507092,0.115592,0.207918,0.049131,0.098145,0.296494,1.24,0.19
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:03,2026-03-07T18:24:03.914726,0,grpo,prompt_skip,60,3,256,32,8,4,2,10,32,42,0.099789,0.011832,0.017282,0.0,0.0,0.004172,0.005056,0.0,0.0,0.014589,0.009307,0.01111,0.009082,0.003479,0.00501,0.016009,0.001729,0.597652,0.143137,0.264426,0.085496,0.10791,0.307898,1.59,0.16
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:04,2026-03-07T18:24:04.240785,0,grpo,prompt_skip,80,4,256,32,8,4,2,10,32,42,0.127573,0.018479,0.021863,0.0,0.0,0.004188,0.005037,0.0,0.0,0.01094,0.005852,0.00868,0.005974,0.00226,0.003341,0.016131,0.002295,0.540124,0.109748,0.237527,0.049787,0.101562,0.301388,1.91,0.16
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:04,2026-03-07T18:24:04.542005,0,grpo,prompt_skip,100,5,256,32,8,4,2,10,32,42,0.117343,0.016463,0.020671,0.0,0.0,0.004624,0.005599,0.0,0.0,0.010647,0.006098,0.009357,0.006538,0.00129,0.00235,0.014621,0.002463,0.51756,0.076961,0.240418,0.063111,0.098145,0.296076,2.23,0.18
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:04,2026-03-07T18:24:04.828901,0,grpo,prompt_skip,120,6,256,32,8,4,2,10,32,42,0.100529,0.014626,0.017721,0.0,0.0,0.006885,0.007823,0.0,0.0,0.014039,0.006709,0.011402,0.007026,0.002637,0.004337,0.016134,0.002108,0.586431,0.07641,0.251969,0.057267,0.103027,0.303533,2.49,0.15
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:05,2026-03-07T18:24:05.094412,0,grpo,prompt_skip,140,7,256,32,8,4,2,10,32,42,0.136531,0.019273,0.024014,0.0,0.0,0.004774,0.005969,0.0,0.0,0.019623,0.009141,0.017039,0.010001,0.002585,0.004306,0.014198,0.00274,0.694444,0.153611,0.314057,0.091963,0.11377,0.314741,2.76,0.15
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:05,2026-03-07T18:24:05.362468,0,grpo,prompt_skip,160,8,256,32,8,4,2,10,32,42,0.1414,0.01959,0.023623,0.0,0.0,0.0065,0.007922,0.0,0.0,0.012332,0.00761,0.009321,0.00801,0.003011,0.004265,0.014184,0.002998,0.579074,0.072839,0.274876,0.037594,0.103516,0.304308,3.03,0.15
20260307_182400_grpo_prompt_skip_gpu1,2026-03-07,18:24:05,2026-03-07T18:24:05.632113,0,grpo,prompt_skip,180,9,256,32,8,4,2,10,32,42,0.175312,0.024098,0.030085,0.0,0.0,0.005715,0.007124,0.0,0.0,0.016937,0.009686,0.015136,0.010356,0.001802,0.003432,0.016584,0.002433,0.673235,0.137277,0.305494,0.071393,0.115234,0.3177,3.29,0.15
