run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:28,2026-03-07T18:24:28.042861,0,stv,prompt_skip,0,0,256,32,8,4,2,10,32,42,0.021316,0.002991,0.003449,0.0,0.0,0.003076,0.003468,0.000967,0.001164,0.00193,0.000948,0.001746,0.000995,0.000184,0.000325,0.002177,0.000263,0.233443,0.054689,0.238207,0.046375,0.094238,0.290534,0.56,0.56
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:28,2026-03-07T18:24:28.881133,0,stv,prompt_skip,20,1,256,32,8,4,2,10,32,42,0.021416,0.00307,0.003774,0.0,0.0,0.003117,0.003737,0.000943,0.001187,0.001962,0.001366,0.001587,0.001448,0.000375,0.000624,0.002272,0.000331,0.217882,0.064031,0.210782,0.055938,0.094238,0.291161,1.0,0.16
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:29,2026-03-07T18:24:29.273188,0,stv,prompt_skip,40,2,256,32,8,4,2,10,32,42,0.019232,0.002879,0.00322,0.0,0.0,0.003006,0.003422,0.000877,0.001072,0.001771,0.001049,0.0013,0.00089,0.000471,0.000757,0.002352,0.000168,0.216639,0.043931,0.211096,0.046272,0.098633,0.297157,1.4,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:29,2026-03-07T18:24:29.671161,0,stv,prompt_skip,60,3,256,32,8,4,2,10,32,42,0.017708,0.002616,0.003118,0.0,0.0,0.002996,0.003557,0.001064,0.00128,0.002819,0.001842,0.002238,0.00166,0.000581,0.000989,0.002426,0.000306,0.261574,0.071689,0.268391,0.082342,0.107422,0.307309,1.8,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:30,2026-03-07T18:24:30.073240,0,stv,prompt_skip,80,4,256,32,8,4,2,10,32,42,0.022996,0.003175,0.004036,0.0,0.0,0.003317,0.004139,0.001097,0.001401,0.002102,0.001106,0.001698,0.001208,0.000403,0.000639,0.002403,0.000252,0.235783,0.045452,0.24261,0.052833,0.101562,0.301485,2.2,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:30,2026-03-07T18:24:30.475902,0,stv,prompt_skip,100,5,256,32,8,4,2,10,32,42,0.020849,0.002942,0.003633,0.0,0.0,0.003105,0.003931,0.000899,0.001138,0.002121,0.001446,0.001928,0.001517,0.000193,0.000396,0.002219,0.000329,0.225323,0.055691,0.238732,0.066424,0.09668,0.293846,2.61,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:30,2026-03-07T18:24:30.880932,0,stv,prompt_skip,120,6,256,32,8,4,2,10,32,42,0.028387,0.004153,0.004944,0.0,0.0,0.004297,0.005205,0.001223,0.001442,0.002515,0.001197,0.002131,0.001235,0.000384,0.000706,0.002398,0.000252,0.248252,0.034676,0.254764,0.052563,0.104004,0.304827,3.01,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:31,2026-03-07T18:24:31.283285,0,stv,prompt_skip,140,7,256,32,8,4,2,10,32,42,0.029406,0.004417,0.005129,0.0,0.0,0.004756,0.005422,0.001226,0.00131,0.004124,0.002045,0.003659,0.002169,0.000465,0.000818,0.002339,0.000439,0.316138,0.08354,0.310524,0.092349,0.11377,0.315168,3.41,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:31,2026-03-07T18:24:31.677274,0,stv,prompt_skip,160,8,256,32,8,4,2,10,32,42,0.036258,0.00514,0.006032,0.0,0.0,0.004661,0.005809,0.001294,0.001461,0.002326,0.001217,0.001748,0.001217,0.000578,0.000801,0.002204,0.000341,0.257243,0.031559,0.279583,0.039463,0.103516,0.304301,3.8,0.17
20260307_182425_stv_prompt_skip_gpu2,2026-03-07,18:24:32,2026-03-07T18:24:32.070746,0,stv,prompt_skip,180,9,256,32,8,4,2,10,32,42,0.035485,0.004982,0.005631,0.0,0.0,0.005065,0.005618,0.000861,0.001037,0.003324,0.001524,0.003024,0.001619,0.0003,0.000628,0.00257,0.000408,0.298505,0.058138,0.306714,0.069091,0.116699,0.319331,4.19,0.17
