run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:04:55,2026-03-09T15:04:55.569603,0,reinforce,prompt_skip,0,0,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001808,0.001207,0.000917,0.000639,0.00089,0.000944,0.002304,0.000302,0.231423,0.045062,0.231423,0.045062,0.098145,0.296406,1.25,1.25
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:04:58,2026-03-09T15:04:58.612747,0,reinforce,prompt_skip,20,1,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193,0.001426,0.000975,0.000742,0.000955,0.00102,0.002274,0.00035,0.240271,0.044952,0.240271,0.044952,0.099609,0.298258,3.85,0.8
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:01,2026-03-09T15:05:01.073465,0,reinforce,prompt_skip,40,2,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001845,0.001231,0.00092,0.000697,0.000925,0.001022,0.002304,0.000289,0.235846,0.035378,0.235846,0.035378,0.100098,0.299259,6.25,0.75
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:03,2026-03-09T15:05:03.544502,0,reinforce,prompt_skip,60,3,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002043,0.001485,0.000889,0.000776,0.001154,0.00124,0.00235,0.000304,0.247068,0.042224,0.247068,0.042224,0.104004,0.303756,8.79,0.81
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:06,2026-03-09T15:05:06.009730,0,reinforce,prompt_skip,80,4,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002208,0.001569,0.000945,0.000775,0.001264,0.00129,0.002365,0.000328,0.256593,0.051166,0.256593,0.051166,0.107422,0.307899,11.18,0.74
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:08,2026-03-09T15:05:08.392570,0,reinforce,prompt_skip,100,5,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002238,0.001611,0.000941,0.000783,0.001297,0.00139,0.002335,0.000295,0.258053,0.044641,0.258053,0.044641,0.106934,0.307223,13.63,0.81
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:10,2026-03-09T15:05:10.861687,0,reinforce,prompt_skip,120,6,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002225,0.001637,0.000942,0.000769,0.001283,0.001529,0.002304,0.000342,0.258607,0.034326,0.258607,0.034326,0.105469,0.305598,16.1,0.81
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:13,2026-03-09T15:05:13.337577,0,reinforce,prompt_skip,140,7,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002519,0.001897,0.00131,0.001158,0.001209,0.00157,0.002304,0.000337,0.273933,0.044215,0.273933,0.044215,0.109375,0.310066,18.58,0.81
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:15,2026-03-09T15:05:15.855268,0,reinforce,prompt_skip,160,8,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.001969,0.001293,0.001145,0.001306,0.001713,0.002304,0.000314,0.277957,0.043034,0.277957,0.043034,0.11084,0.312292,21.04,0.76
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:18,2026-03-09T15:05:18.278430,0,reinforce,prompt_skip,180,9,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002864,0.002226,0.001363,0.001195,0.001501,0.002015,0.002335,0.000283,0.295978,0.033599,0.295978,0.033599,0.115234,0.318294,23.52,0.81
20260309_150453_reinforce_prompt_skip_gpu1,2026-03-09,15:05:20,2026-03-09T15:05:20.499684,0,reinforce,prompt_skip,200,10,256,32,8,4,2,10,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306,0.002392,0.001334,0.001109,0.001726,0.002232,0.00235,0.000297,0.309216,0.043756,0.309216,0.043756,0.119629,0.323302,25.72,0.79
